,0,1,2,3,4,5,6
215,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906417106-excelente-apartamento-vila-mariana-mr76840-_JM#position=24&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,1.640.000,*excelente Apartamento Vila Mariana  - Mr76840,"R Joaquim Távora, Vila Mariana, São Paulo Zona Sul, São Paulo",141 m² construídos,4 quartos
216,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906385908-apartamento-para-venda-em-so-paulo-vila-mariana-2-dormitorios-1-suite-2-banheiros-1-vaga-11641-1839951-_JM#position=25&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,862.000,"Apartamento Para Venda Em São Paulo, Vila Mariana, 2 Dormitórios, 1 Suíte, 2 Banheiros, 1 Vaga - 1164_1-1839951","Rua Potenji, 71, Vila Mariana, São Paulo Zona Sul, São Paulo",71 m² construídos,2 quartos
217,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906390720-apartamento-para-venda-em-so-paulo-vila-mariana-2-dormitorios-1-banheiro-1-vaga-2631-1842670-_JM#position=26&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,670.000,"Apartamento Para Venda Em São Paulo, Vila Mariana, 2 Dormitórios, 1 Banheiro, 1 Vaga - 263_1-1842670","Rua Sena Madureira, 80, Vila Clementino, São Paulo Zona Sul, São Paulo",53 m² construídos,2 quartos
218,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906376110-tipoimovel-para-negocio-no-bairro-bairro-em-cidade-cod-referencia-ss46291-_JM#position=27&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,750.000,$tipo_imovel Para $negocio No Bairro $bairro Em $cidade Â? Cod: $referencia - Ss46291,"R Jorge Tibiriçá, Vila Mariana, São Paulo Zona Sul, São Paulo",90 m² construídos,2 quartos
219,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906171507-apartamento-vila-mariana-ref-141418-v-141418-_JM#position=28&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,660.000,Apartamento - Vila Mariana - Ref: 141418 - V-141418,"Bartolomeu De Gusmao, Vila Mariana, São Paulo Zona Sul, São Paulo",55 m² construídos,2 quartos
220,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906158520-apartamento-jardim-vila-mariana-ref-123671-v-123671-_JM#position=29&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,725.000,Apartamento - Jardim Vila Mariana - Ref: 123671 - V-123671,"Pedro Pomponazzi, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",53 m² construídos,2 quartos
221,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906165395-apartamento-paraiso-sp-643691-_JM#position=30&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,940.000,Apartamento - Paraíso  - Sp - 643691,"Av Vinte E Três De Maio, Vila Mariana, São Paulo Zona Sul, São Paulo",81 m² construídos,2 quartos
222,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906141568-apartamento-com-3-dormitorios-venda-149-m-por-r-250000000-vila-mariana-so-paulosp-ap14832-_JM#position=31&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,2.500.000,"Apartamento Com 3 Dormitórios À Venda, 149 M² Por R$ 2.500.000,00 - Vila Mariana - São Paulo/sp - Ap14832","Vila Mariana, São Paulo Zona Sul, São Paulo",149 m² construídos,3 quartos
223,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906129255-apartamento-para-venda-em-so-paulo-vila-mariana-3-dormitorios-3-suites-5-banheiros-2-vagas-dp01501-1927153-_JM#position=32&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,2.085.000,"Apartamento Para Venda Em São Paulo, Vila Mariana, 3 Dormitórios, 3 Suítes, 5 Banheiros, 2 Vagas - Dp0150_1-1927153","Rua Conde De Irajá,, Vila Mariana, São Paulo Zona Sul, São Paulo",155 m² construídos,3 quartos
224,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906123701-studio-para-venda-em-so-paulo-vila-mariana-1-dormitorio-1-banheiro-cap37111-1927754-_JM#position=33&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,593.000,"Studio Para Venda Em São Paulo, Vila Mariana, 1 Dormitório, 1 Banheiro - Cap3711_1-1927754","Rua Humberto I, 1005, Vila Mariana, São Paulo Zona Sul, São Paulo",41 m² totais,1 quarto
225,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906123096-studio-para-venda-em-so-paulo-vila-mariana-1-dormitorio-1-banheiro-dp01571-1898873-_JM#position=34&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,596.200,"Studio Para Venda Em São Paulo, Vila Mariana, 1 Dormitório, 1 Banheiro - Dp0157_1-1898873","Rua Humberto I,, Vila Mariana, São Paulo Zona Sul, São Paulo",41 m² construídos,1 quarto
226,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906086039-apartamento-paraiso-sp-643691-_JM#position=35&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,940.000,Apartamento - Paraíso  - Sp - 643691,"Av Vinte E Três De Maio, Vila Mariana, São Paulo Zona Sul, São Paulo",81 m² construídos,2 quartos
227,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906034236-lindo-semi-mobiliado-no-metr-klabin-ja24199-_JM#position=36&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,450.000,Lindo Semi Mobiliado No Metrô Klabin! - Ja24199,"R Doutor Sabóia De Medeiros, Vila Mariana, São Paulo Zona Sul, São Paulo",55 m² construídos,2 quartos
228,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906038569-apartamento-vila-mariana-137m-feira-orgnica-dentro-do-condominio-lazer-completo-2-vagas-garagem-bi26550-_JM#position=37&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,1.402.000,"Apartamento Vila Mariana 137m², Feira Orgânica Dentro Do Condomínio, Lazer Completo, 2 Vagas Garagem - Bi26550","R Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",137 m² construídos,3 quartos
229,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906029874-vila-mariana-sala-2-ambientes-lareira-closet-armarios-kitchens-otima-localizaco-alto-padro-bi18155-_JM#position=38&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,2.199.000,"Vila Mariana, Sala 2 Ambientes, Lareira, Closet, Armários Kitchens, Ótima Localização, Alto Padrão. - Bi18155","R Áurea, Vila Mariana, São Paulo Zona Sul, São Paulo",172 m² construídos,3 quartos
230,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906036367-apartamento-na-vila-mariana-proximo-ao-metr-klabin-ja24539-_JM#position=39&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,450.000,Apartamento Na Vila Mariana Próximo Ao Metrô Klabin! - Ja24539,"R Doutor Assis De Moura, Vila Mariana, São Paulo Zona Sul, São Paulo",55 m² construídos,2 quartos
231,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906029740-klabin-varanda-gourmet-um-apartamento-por-andar-bi30237-_JM#position=40&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,2.200.000,"Klabin, Varanda Gourmet, Um Apartamento Por Andar - Bi30237","R Professora Carolina Ribeiro, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",180 m² construídos,4 quartos
232,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906029723-apartamento-72-m-com-3-dormitorios-vila-gumercindo-bi27890-_JM#position=41&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,640.000,Apartamento  72 M²  Com 3 Dormitorios  - Vila Gumercindo - Bi27890,"R Do Arraial, Vila Mariana, São Paulo Zona Sul, São Paulo",72 m² construídos,3 quartos
233,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906036220-apartamento-varanda-gourmet-mobiliado-lazer-completo-2-vagas-perto-metr-vila-mariana-bi20893-_JM#position=42&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,790.000,"Apartamento Varanda Gourmet, Mobiliado, Lazer Completo, 2 Vagas, Perto Metrô Vila Mariana - Bi20893","Av Lins De Vasconcelos, Cambuci, São Paulo Zona Sul, São Paulo",73 m² construídos,2 quartos
234,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906029224-apartamento-cambuci-reformado-lazer-com-churrasqueira-1-vaga-facil-acesso-ao-metr-vila-mariana-bi14283-_JM#position=43&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,499.000,"Apartamento Cambuci Reformado, Lazer Com Churrasqueira, 1 Vaga, Fácil Acesso Ao Metrô Vila Mariana.  - Bi14283","Av Lacerda Franco, Cambuci, São Paulo Zona Sul, São Paulo",67 m² construídos,1 quarto
235,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906033068-lindo-duplex-na-vila-mariana-ja24068-_JM#position=44&search_layout=grid&type=item&tracking_id=5b9ac9c4-19ad-49ec-8ec0-bec6822b856d,645.000,Lindo Duplex Na Vila Mariana! - Ja24068,"R Doutor Neto De Araújo, Vila Mariana, São Paulo Zona Sul, São Paulo",50 m² construídos,1 quarto
